title,plot,genre
"City of Echoes","A detective returns to her hometown to solve a string of ritualistic murders tied to a decades-old cult.","Thriller"
"Stars Beyond","An astronaut stranded on Mars must improvise a way home while communicating with Earth.","Science Fiction"
"Hearts at Harbor","Two rival chefs fall in love while competing in a seaside cooking festival.","Romance"
"The Last Kingdom","A young warrior unites warring clans to defend their realm from invaders.","Adventure"
"Laughing Matters","A stand-up comedian navigates family drama and a failing career in New York.","Comedy"
"Shadow Protocol","A covert agent uncovers a government conspiracy that threatens global stability.","Action"
"Whispers in the Pines","A grieving mother discovers her missing son's voice in an abandoned forest cabin.","Mystery"
"Wild Horizons","A wildlife photographer embarks on a solo trek across the Amazon.","Adventure"
"Midnight Sonata","A gifted pianist confronts stage fright ahead of a life-changing audition.","Drama"
"Neon Vows","In a futuristic city, a hacker and detective chase a rogue AI.","Science Fiction"
"Autumn Letters","Two childhood friends reconnect through a cache of lost letters.","Romance"
"Chaos Weekend","A group of friends tries to survive a disastrous bachelor party.","Comedy"
"Iron Divide","A veteran soldier leads a rescue mission behind enemy lines.","Action"
"Beneath the Lake","Divers uncover a submerged town and an ancient curse.","Horror"
"Fading Frames","A documentary filmmaker reconciles with his estranged father.","Drama"
"Crimson Harvest","Farmers fight against a supernatural blight consuming their land.","Horror"
"Puzzle Room","Contestants trapped in a game show must solve deadly riddles.","Thriller"
"Silent Evidence","An investigative journalist exposes corruption in a small town.","Mystery"
"Orbit of Fate","A space crew races to prevent a collision that could destroy Earth.","Science Fiction"
"Golden Mile","A marathon runner struggles with addiction while training for the Olympics.","Drama"
